proyecto,etapa_numero,etapa_nombre,transicion,evento,txid,network,explorer_preprod,confirmaciones_koios_2026-09-11
Torre Volumen 1,1,Adquisición del terreno,Mint (declaración),STAGE_CREATED,3527dae63d58996878f59dbc83f91903173e8943b2d5e3e9e4da12fecd0cde96,Preprod,https://preprod.cardanoscan.io/transaction/3527dae63d58996878f59dbc83f91903173e8943b2d5e3e9e4da12fecd0cde96,3761
Torre Volumen 1,1,Adquisición del terreno,Ancla evidencia,EVIDENCE_ANCHOR,bce9a2ac69130202ffdc6cd580b6f63fb102093d92eec2e095883172d0722485,Preprod,https://preprod.cardanoscan.io/transaction/bce9a2ac69130202ffdc6cd580b6f63fb102093d92eec2e095883172d0722485,3701
Torre Volumen 1,1,Adquisición del terreno,Auto Pending→InProgress,STAGE_TRANSITION,e82bc35a335cbfe869e05def53c29322e95496a84043794e5a72ec613f198ae1,Preprod,https://preprod.cardanoscan.io/transaction/e82bc35a335cbfe869e05def53c29322e95496a84043794e5a72ec613f198ae1,3701
Torre Volumen 1,1,Adquisición del terreno,Observar (InProgress→Observed),STAGE_TRANSITION,a27f329fe7aad4456425ca59489ffd26071a06d771924f66f4c880ac14df2b6c,Preprod,https://preprod.cardanoscan.io/transaction/a27f329fe7aad4456425ca59489ffd26071a06d771924f66f4c880ac14df2b6c,3607
Torre Volumen 1,1,Adquisición del terreno,Reanudar (Observed→InProgress),STAGE_TRANSITION,e7f9c7b7d88bf9d84c5931a35f40742c4a1a6fb69a5081aa797a7be91ee23e95,Preprod,https://preprod.cardanoscan.io/transaction/e7f9c7b7d88bf9d84c5931a35f40742c4a1a6fb69a5081aa797a7be91ee23e95,3528
Torre Volumen 1,1,Adquisición del terreno,Certificar (InProgress→Completed),STAGE_TRANSITION,3a1f95cf82ac4e12c267e3645439e3e8013c4548fe754d4ac203e5b1044e68eb,Preprod,https://preprod.cardanoscan.io/transaction/3a1f95cf82ac4e12c267e3645439e3e8013c4548fe754d4ac203e5b1044e68eb,3494
Torre Volumen 1,2,Proyecto ejecutivo,Mint (declaración),STAGE_CREATED,ca6793e071de3b19dbc25136e6868ce3adf5a46c0fe4d8b77e3389c282cc7573,Preprod,https://preprod.cardanoscan.io/transaction/ca6793e071de3b19dbc25136e6868ce3adf5a46c0fe4d8b77e3389c282cc7573,3760
Torre Volumen 1,2,Proyecto ejecutivo,Ancla evidencia,EVIDENCE_ANCHOR,b377f2b157b47f9a98d02c418f7423dc08613dd62bda6b03cfd1b26cb37e9ece,Preprod,https://preprod.cardanoscan.io/transaction/b377f2b157b47f9a98d02c418f7423dc08613dd62bda6b03cfd1b26cb37e9ece,3698
Torre Volumen 1,2,Proyecto ejecutivo,Auto Pending→InProgress,STAGE_TRANSITION,7412e42b9403a4e4051d2adcb7782b76e61ec117cee45d01f1621bdf264b8b47,Preprod,https://preprod.cardanoscan.io/transaction/7412e42b9403a4e4051d2adcb7782b76e61ec117cee45d01f1621bdf264b8b47,3698
Torre Volumen 1,2,Proyecto ejecutivo,Observar (InProgress→Observed),STAGE_TRANSITION,5bef86563f8cfb543aa448fe91bbd4ed565ac2d21678adf88f33e8364ea02289,Preprod,https://preprod.cardanoscan.io/transaction/5bef86563f8cfb543aa448fe91bbd4ed565ac2d21678adf88f33e8364ea02289,3603
Torre Volumen 1,2,Proyecto ejecutivo,Reanudar (Observed→InProgress),STAGE_TRANSITION,ad8b6633882a6f3cbc3e367f46211be40c6101fc4f862934d5902a72b828ed53,Preprod,https://preprod.cardanoscan.io/transaction/ad8b6633882a6f3cbc3e367f46211be40c6101fc4f862934d5902a72b828ed53,3528
Torre Volumen 1,2,Proyecto ejecutivo,Certificar (InProgress→Completed),STAGE_TRANSITION,cf0e14652205163b33309519227bf341a490e78b80ddac0a06503fdf40fd7c27,Preprod,https://preprod.cardanoscan.io/transaction/cf0e14652205163b33309519227bf341a490e78b80ddac0a06503fdf40fd7c27,3494
Torre Volumen 1,3,Movimiento de suelos y excavación,Mint (declaración),STAGE_CREATED,61067ba2fe920bfbb350559ba7007a7beed7dd9790713878df3fd0ba3b3b6240,Preprod,https://preprod.cardanoscan.io/transaction/61067ba2fe920bfbb350559ba7007a7beed7dd9790713878df3fd0ba3b3b6240,3759
Torre Volumen 1,3,Movimiento de suelos y excavación,Ancla evidencia,EVIDENCE_ANCHOR,0132d1497f2e63247bd78d13728c46c31748114bb3de7e838535c9e428eafb2c,Preprod,https://preprod.cardanoscan.io/transaction/0132d1497f2e63247bd78d13728c46c31748114bb3de7e838535c9e428eafb2c,3695
Torre Volumen 1,3,Movimiento de suelos y excavación,Auto Pending→InProgress,STAGE_TRANSITION,49a6be960d61ba55ba4d16de9b766676d4da155581dcbccace52621e2fe4dbf6,Preprod,https://preprod.cardanoscan.io/transaction/49a6be960d61ba55ba4d16de9b766676d4da155581dcbccace52621e2fe4dbf6,3695
Torre Volumen 1,3,Movimiento de suelos y excavación,Observar (InProgress→Observed),STAGE_TRANSITION,fc37cac7dd081198629a464d038e69f8130ba123295ccf2043775426cce7ea65,Preprod,https://preprod.cardanoscan.io/transaction/fc37cac7dd081198629a464d038e69f8130ba123295ccf2043775426cce7ea65,3597
Torre Volumen 1,3,Movimiento de suelos y excavación,Reanudar (Observed→InProgress),STAGE_TRANSITION,9a57f563e7d5627f22d9a062d26049d48789c91014d8b676298c0eb7c71f9e68,Preprod,https://preprod.cardanoscan.io/transaction/9a57f563e7d5627f22d9a062d26049d48789c91014d8b676298c0eb7c71f9e68,3521
Torre Volumen 1,3,Movimiento de suelos y excavación,Certificar (InProgress→Completed),STAGE_TRANSITION,8753cd70211c4f8182da14d25375f81218d8a0568975e4ad0d5e76557ab148a4,Preprod,https://preprod.cardanoscan.io/transaction/8753cd70211c4f8182da14d25375f81218d8a0568975e4ad0d5e76557ab148a4,3077
Torre Volumen 1,4,Cimentación,Mint (declaración),STAGE_CREATED,ad0fe12703dd89470f4ad7b9ee69b9e681dc0434f14edc685a673c2f191609e4,Preprod,https://preprod.cardanoscan.io/transaction/ad0fe12703dd89470f4ad7b9ee69b9e681dc0434f14edc685a673c2f191609e4,3758
Torre Volumen 1,4,Cimentación,Ancla evidencia,EVIDENCE_ANCHOR,46bf2b8c64b10eb26a99005d888339c423ae692eee5d3b02fddfe9d5e40737e7,Preprod,https://preprod.cardanoscan.io/transaction/46bf2b8c64b10eb26a99005d888339c423ae692eee5d3b02fddfe9d5e40737e7,3693
Torre Volumen 1,4,Cimentación,Auto Pending→InProgress,STAGE_TRANSITION,1972aa5e68d4fe800a6542f16f956b7352d8f7bd62752dedd3c5b725f89a12a4,Preprod,https://preprod.cardanoscan.io/transaction/1972aa5e68d4fe800a6542f16f956b7352d8f7bd62752dedd3c5b725f89a12a4,3692
Torre Volumen 1,4,Cimentación,Observar (InProgress→Observed),STAGE_TRANSITION,270cfea4fabf232573e94b69324b69054f41f344fbaeca6b95dfe5d16595dd06,Preprod,https://preprod.cardanoscan.io/transaction/270cfea4fabf232573e94b69324b69054f41f344fbaeca6b95dfe5d16595dd06,3582
Torre Volumen 1,4,Cimentación,Reanudar (Observed→InProgress),STAGE_TRANSITION,cf23d689952846413a4efedea45c4d148e8a9284796ae47e2010c05a84e10f4a,Preprod,https://preprod.cardanoscan.io/transaction/cf23d689952846413a4efedea45c4d148e8a9284796ae47e2010c05a84e10f4a,3070
Torre Volumen 1,4,Cimentación,Certificar (InProgress→Completed),STAGE_TRANSITION,75b9dcfd267848cefcc7a150f84b816524769736dfca7694012f53380d341ba8,Preprod,https://preprod.cardanoscan.io/transaction/75b9dcfd267848cefcc7a150f84b816524769736dfca7694012f53380d341ba8,3065
Torre Volumen 1,5,Estructura planta baja,Mint (declaración),STAGE_CREATED,3319e8e26babbb02ecabb14214c956abf6b7e79ccbb9de410817362562e1e25d,Preprod,https://preprod.cardanoscan.io/transaction/3319e8e26babbb02ecabb14214c956abf6b7e79ccbb9de410817362562e1e25d,3757
Torre Volumen 1,5,Estructura planta baja,Ancla evidencia,EVIDENCE_ANCHOR,113e729ec564b8f3c748145bd0645a2b56fbfc54654202d1e20f116f843addfc,Preprod,https://preprod.cardanoscan.io/transaction/113e729ec564b8f3c748145bd0645a2b56fbfc54654202d1e20f116f843addfc,3688
Torre Volumen 1,5,Estructura planta baja,Auto Pending→InProgress,STAGE_TRANSITION,5736ced65bb251ca350fb1d9e31cafffac192906e3dcd94d1675914127162576,Preprod,https://preprod.cardanoscan.io/transaction/5736ced65bb251ca350fb1d9e31cafffac192906e3dcd94d1675914127162576,3688
Torre Volumen 1,5,Estructura planta baja,Observar (InProgress→Observed),STAGE_TRANSITION,0fb0feb61c995364d63b023c94a37e0372ca0d1d2a11db0569dc90937236b2a4,Preprod,https://preprod.cardanoscan.io/transaction/0fb0feb61c995364d63b023c94a37e0372ca0d1d2a11db0569dc90937236b2a4,3580
Torre Volumen 1,5,Estructura planta baja,Reanudar (Observed→InProgress),STAGE_TRANSITION,cbf60e0a3ceb830ff8fcc80a6cabcb876887c56118b2c4f3e0d8dc04e51edca3,Preprod,https://preprod.cardanoscan.io/transaction/cbf60e0a3ceb830ff8fcc80a6cabcb876887c56118b2c4f3e0d8dc04e51edca3,3519
Torre Volumen 1,5,Estructura planta baja,Certificar (InProgress→Completed),STAGE_TRANSITION,636260b0b67c0fc9f56a5baef91864c82221bf2dde0f653dba119ca0d3ba56f6,Preprod,https://preprod.cardanoscan.io/transaction/636260b0b67c0fc9f56a5baef91864c82221bf2dde0f653dba119ca0d3ba56f6,3493
